# schema=nsb-healpix-starlight-candidate-v5
# map_type=healpix
# coordinate_frame=galactic
# ordering=nested
# representation=sparse
# omitted_pixel_semantics=zero_flux_and_source_counts
# nside=128
# flux_quantity=integrated_per_pixel
# flux_unit=ph_m-2_s-1
pixel,flux_ph_m2_s,statistical_uncertainty_ph_m2_s,systematic_uncertainty_ph_m2_s,total_uncertainty_ph_m2_s,admitted_sources,excluded_sources
5402,2.41307438991225548e7,1.41841357805820502e5,4.98682195222123933e5,5.18462055135913775e5,1108,78
5403,2.22652546187805831e7,1.60838536694307288e5,4.24375509133250802e5,4.53832135968875489e5,1207,105
5404,2.17200913928909376e7,2.74038388451653242e5,5.18267769533148792e5,5.86258065430271323e5,1108,72
5405,1.24743877039804067e7,6.58129914410585479e4,3.47847719513017160e5,3.54018906010438222e5,1105,90
5406,2.14229756255943656e8,6.80700053405227419e6,4.76178361758616194e7,4.81019082609181255e7,1134,67
5407,1.09849447413485739e7,5.16664911990404435e4,3.10957703044773138e5,3.15220747089562356e5,1131,65
5408,3.37450365729721561e7,2.57547478450870141e5,7.64969170166900614e5,8.07160786313506425e5,1206,81
5409,1.89322335385447517e7,1.20405957067002979e5,4.86793609258920013e5,5.01463470765864535e5,1264,83
5410,2.63690260054973289e7,1.54978840882873163e5,5.36579034179465380e5,5.58511862937902915e5,1275,81
5411,1.46465986326958388e7,9.16165201414998010e4,4.02672885300933325e5,4.12963726396661194e5,1181,69
5412,1.93647323194616549e7,1.15126395211982061e5,4.35117079338431242e5,4.50089946129117801e5,1160,84
5413,1.83149339074760899e7,1.48065448711686244e5,4.95265173601638991e5,5.16924529583240626e5,1221,66
5414,2.66170213831789047e7,1.73222032369557914e5,6.24090738839302561e5,6.47684431496717967e5,1192,68
5415,2.36301721327931918e7,1.54849706652616267e5,5.59008682930817711e5,5.80059599733034964e5,1155,81
5416,2.49635923088201657e7,2.14277377626748697e5,5.57958113901074394e5,5.97688925303657074e5,1266,136
5417,3.32099877504609972e7,2.47693497862121032e5,6.47361874075458734e5,6.93130193318443373e5,1140,98
5418,1.64412998136668168e7,8.97071053001239052e4,4.10642699536145316e5,4.20327005346623482e5,1231,110
