# schema=nsb-healpix-starlight-candidate-v5
# map_type=healpix
# coordinate_frame=galactic
# ordering=nested
# representation=sparse
# omitted_pixel_semantics=zero_flux_and_source_counts
# nside=128
# flux_quantity=integrated_per_pixel
# flux_unit=ph_m-2_s-1
pixel,flux_ph_m2_s,statistical_uncertainty_ph_m2_s,systematic_uncertainty_ph_m2_s,total_uncertainty_ph_m2_s,admitted_sources,excluded_sources
68039,2.22691222169199474e7,2.09952538654190925e5,9.96035365448484314e5,1.01792264819652936e6,4977,233
68045,5.08143842816391587e7,4.54833291875925614e5,7.41311711654043011e6,7.42705720369403064e6,10267,527
68047,1.44388884895162545e7,3.89452968609107629e4,8.05494329694831977e5,8.06435274103328818e5,4914,268
68048,8.26957941618609577e7,4.22472546952246106e5,7.22273378222662304e6,7.23507887599340640e6,15482,766
68049,7.83779665273560584e7,2.86399456076458271e5,4.54349661278245691e6,4.55251426343801245e6,16812,895
68050,9.18140472531283647e7,1.02158241924090264e6,9.75796528775744699e6,9.81129538829513453e6,16080,844
68051,8.40053096594624817e7,3.46524440229925676e5,6.88034053083771281e6,6.88906125738223083e6,17181,879
68052,5.99735304342729449e7,1.33804366025096941e5,3.29272783459530165e6,3.29544537218962889e6,15137,856
68053,1.05545413449990749e6,5.65936549783513419e3,1.36692689468316268e5,1.36809794137406803e5,552,26
68054,2.12144326497178748e7,9.98051849463510443e4,1.47548512305050180e6,1.47885679607104952e6,5477,300
68056,1.67049157400728077e8,5.45088710108343977e6,9.41845622156578116e6,1.08820718517343476e7,17173,930
68057,4.58446141285979450e7,8.88132974243044155e4,2.40390294442339335e6,2.40554300897049811e6,12636,733
68058,6.83059221418344975e7,3.83338437587927910e5,8.21293631864055432e6,8.22187760379448906e6,16950,876
68059,3.06171111483392529e7,3.53604135060892906e5,1.01372732383363554e6,1.07362887974339956e6,2360,147
68069,2.87652396210386753e7,8.07363361569215631e4,2.42706016871916829e6,2.42840264753585728e6,8331,485
68071,1.53781200006497484e7,2.02748722031286248e5,1.74056270276181912e6,1.75233146594211692e6,1683,93
68080,3.16354741668753885e7,1.04035475026899076e5,2.64584992734661745e6,2.64789448772117309e6,8497,510
68082,5.93159041518084356e5,4.09959096280528411e3,6.26547545132901432e4,6.27887323425387076e4,278,18
68648,1.00635389324911823e6,8.75252958452017810e3,5.00406238407124838e4,5.08003032323192310e4,300,15
68973,2.18755240303543676e6,5.21681463410741708e3,3.82886049661898171e5,3.82921587509270874e5,2570,1055
68975,5.41448180886156857e7,4.14659251437202111e4,5.67938476475366950e6,5.67953613678653445e6,40516,20487
68984,1.23805658620544318e7,7.68463334135191108e4,8.73257371506251395e5,8.76632075530612143e5,4876,2134
68986,9.74621199535603821e7,2.76880366142342915e5,1.10153490785326790e7,1.10188283432988394e7,68357,34445
69061,7.72417712049502581e7,2.13246797466839314e5,1.00022191380810905e7,1.00044920851998031e7,52105,27565
69072,1.65099362161128610e8,2.38117438271636405e5,1.51328116408269871e7,1.51346849346511941e7,91805,61288
69073,4.69921752328839302e7,4.58632495286598220e5,3.17409508383135591e6,3.20705836662434228e6,19405,12052
69074,2.67454325263970084e7,5.52595881285596261e4,3.72642567873809393e6,3.72683538155883690e6,16167,11375
69075,6.98561198399217427e6,2.12090100393351786e4,9.12859303042311687e5,9.13105650654809899e5,5138,3490
69094,2.41691904578376710e7,9.06520338571299217e4,1.18947866464489978e6,1.19292803005371965e6,7517,7831
69095,1.69917484755502194e7,1.90415041236919569e4,1.39559720821239939e6,1.39572710314356792e6,9538,10038
69100,5.61139046018594503e7,1.09844286968248678e5,4.95951058331070933e6,4.96072686139344890e6,32136,31947
69101,3.45702605351853296e7,3.33898856669895395e4,2.97611320136971772e6,2.97630050092929369e6,18955,18488
69102,1.23033853770607691e7,2.06769409752816355e4,1.63491586521313572e6,1.63504661163335387e6,7079,6733
69103,2.25162266329265207e8,5.49325802557834657e5,2.40921130716652162e7,2.40983748641948402e7,98678,97516
69114,3.71249573777009621e7,4.95129490202091401e4,4.77360666054364853e6,4.77386343349989038e6,17423,17689
69287,1.81564134772002045e6,8.70971156336141576e3,1.32548596017601347e5,1.32834443506773619e5,1044,251
69293,7.00737456973869503e7,1.48913305755027686e5,5.02228997271115705e6,5.02449716316229291e6,35283,8701
69295,1.00797428886665264e6,3.34268406398095385e3,9.32365552044666256e4,9.32964563268463244e4,710,208
69296,1.14640549470759314e7,1.97287118169511305e4,8.67058251155939535e5,8.67282671893975232e5,6340,1724
69297,2.69359228541728035e7,2.69340308721164038e4,2.02671751315263938e6,2.02689647494356241e6,14440,4298
69298,1.17776785683117270e8,2.67566159206578450e5,7.81805404984372761e6,7.82263132045927830e6,54750,14499
69299,6.55510667128261551e7,5.58979400069812618e4,4.55655506474506110e6,4.55689791829385702e6,31619,10166
69302,3.63647132826746069e6,2.29362319553696143e4,2.76707375235712563e5,2.77656338386408810e5,1959,630
69304,1.65142255356810004e8,2.46067804345814395e5,1.14968576190461051e7,1.14994906181514859e7,79614,23429
69305,1.70448032690425724e8,2.74314740726950055e5,1.18850462248440143e7,1.18882114863279182e7,81758,27841
69306,5.18718831948205531e7,9.27279810680437076e4,3.21490190771779791e6,3.21623891443413962e6,22244,6873
69307,3.90571845471341982e7,5.59809849492087669e4,3.00874414324779855e6,3.00926489199668355e6,21282,7089
69308,2.79980143325550929e7,1.38489544843793235e5,1.94194057134819264e6,1.94687250139273005e6,12920,4654
69438,1.37609058299726695e8,2.99396471107276448e5,7.58700047682269290e6,7.59290553623705078e6,45378,49554
69439,1.41991416965225577e8,4.86079758397946833e5,7.75029089125423599e6,7.76551881271190941e6,45387,49892
69444,7.22380454866005480e7,1.66363439266597212e5,4.74504608488907292e6,4.74796157752416190e6,26757,28447
69445,2.85586972978693962e8,2.37511114295094926e6,3.03109106420311965e7,3.04038230637294985e7,88656,95329
69447,3.19295918510277057e6,4.33086253965367996e3,2.27386399327576888e5,2.27427638974460686e5,1328,1425
69456,1.05159972043933487e6,2.86163920627085417e3,1.19540331548884060e5,1.19574578593294616e5,534,513
69497,2.01972186803060062e7,6.13140659458395749e4,1.17813249621008569e6,1.17972691471756226e6,5294,5628
69498,7.80226278924895376e7,6.79026346719451394e4,6.21329074804404750e6,6.21366177768995985e6,23892,24976
69499,3.08392735030871272e8,2.64792859393043560e5,2.01622833146128766e7,2.01640220124136545e7,74977,77516
69524,1.47418880338274300e8,8.73361133434677467e4,1.10795724745213240e7,1.10799166880831961e7,80522,92456
69525,5.63523785604887679e7,5.82145667087586044e4,3.88714646515974402e6,3.88758235634706309e6,25428,28997
69526,1.21161437670691963e7,3.76026177717217288e4,9.14556607173230383e5,9.15329309367670445e5,6690,8390
69543,2.39697101646056548e7,2.37437921121981708e4,1.63020429514301824e6,1.63037719916791422e6,12159,14729
69549,1.01636071654261847e6,4.26708223282491508e3,6.10953011668914769e4,6.12441329063842713e4,478,566
69554,1.63326420775911391e8,3.23425378924465564e5,1.10147224322072696e7,1.10194697800893523e7,81785,101006
69555,4.24585602777936216e6,1.96039344188910218e4,3.84188893552851689e5,3.84688731540273468e5,3067,3991
69560,3.39181719804475158e7,5.79429828572773185e4,2.80908920598719455e6,2.80968673635623744e6,22634,27316
69584,2.70204306653292701e7,5.80496327113836815e4,1.84532900744410069e6,1.84624183290612185e6,8755,9616
69585,2.04796383519302160e8,1.60994217003531085e5,1.41686652630301956e7,1.41695798975730781e7,56485,57093
69586,4.19126685302959639e5,1.51887233939708062e3,3.53827340648850150e4,3.54153193277959872e4,246,307
69587,3.91723424684759736e8,2.60940212752964027e5,1.94744454132565223e7,1.94761935179474838e7,94831,100449
69588,1.24193157256495152e7,5.43054179516490694e4,7.79728489540668437e5,7.81617294985388406e5,2127,2089
69590,6.32580391702358648e7,9.18686559129193338e4,3.61982804708355945e6,3.62099363992703287e6,15597,15729
69593,3.91467744012986198e7,4.29187210321478706e4,1.89724440444729314e6,1.89772978762035561e6,10755,12404
70280,5.76264157878659070e7,1.00078744322358732e5,6.29566415462980699e6,6.29645955303103477e6,27768,3823
70281,8.77219269300410710e6,3.34820697255296545e4,7.08208573957857210e5,7.08999600296450779e5,4673,667
70282,2.74900243102572858e8,4.62524678706314601e6,5.55387971941533983e7,5.57310586801878288e7,36042,6264
70283,1.19342555311651365e6,4.56301718043345954e3,1.17865397954936125e5,1.17953690747108005e5,552,69
70304,2.73649038292789042e8,3.08367860992747126e6,3.49065350120727997e6,4.65765344726449810e6,5420,855
70557,5.19537190178514831e6,5.50874734918375325e4,7.79214468703801162e5,7.81159278235278325e5,3770,727
70559,2.12761159869672507e7,1.90977112256402543e4,4.72753570136903878e6,4.72757427549191471e6,29845,6967
70581,3.85285024308255389e7,3.77276860346863759e4,6.76777187398956809e6,6.76787703173290566e6,46075,15964
70583,3.15555790806310881e2,5.87337304700154803e1,1.21054110175978266e2,1.34550171629107581e2,1,2
70600,1.32380710719940788e6,3.99964988904397842e3,3.21712174521047506e5,3.21737036155764712e5,1946,526
70602,5.51314354633168355e7,1.05113715171970602e5,1.16923327000318766e7,1.16928051750361416e7,60226,19259
70603,2.05747553905341215e7,4.41715663789893661e4,3.98264853077764530e6,3.98289347673041746e6,19434,9147
70624,6.25862374534768313e7,6.64178927366024000e4,1.09954046872747168e7,1.09956052845406551e7,75725,26560
70625,2.78428609829879217e7,3.32225336692149722e4,4.01068809197341790e6,4.01082568903720565e6,29784,11899
70626,7.52467547686764002e7,4.60028221432599414e5,1.07512897716953345e7,1.07611271584102735e7,53292,22941
70627,4.26987721668168157e6,1.50180771911241682e4,5.17936622231193527e5,5.18154308378089860e5,3755,1932
70632,6.47044860019521415e7,1.36097369147623447e6,4.71655354044019990e6,4.90898428279511165e6,26495,8103
70633,1.42576096986668912e5,1.24590283102614126e3,3.45412995434106197e4,3.45637620639301604e4,332,69
70634,2.83091460943165533e7,2.52737139695021870e4,4.80743598237510212e6,4.80750241656233370e6,32655,13034
70635,1.04151344822923150e7,2.30975561277972629e4,1.90864046909890021e6,1.90878022238840954e6,11606,4363
70721,8.77575271372419968e6,1.53232559800109357e4,1.11802617569512152e6,1.11813117822252307e6,7203,1052
70723,4.72861835581514686e7,8.24881148797145433e4,8.39171112202154659e6,8.39211652949102782e6,25748,4460
70724,9.58889207118042856e7,1.01192149646613467e6,1.13249374818080273e7,1.13700569075915627e7,39007,6302
70726,8.79581361255183071e7,3.60504201558295696e5,1.17857927054385766e7,1.17913049733653460e7,43456,7201
70727,1.24010066748969276e7,2.00276244800035172e5,8.51565653242443339e5,8.74799769097724929e5,5301,686
70729,1.21808963512452319e8,1.28435422345018643e6,2.14963278565571010e7,2.15346622236776017e7,37641,7376
70731,8.51245609184500645e5,2.47649512174748861e3,1.19150183733967424e5,1.19175917499829782e5,939,189
70732,1.41289042590019375e8,1.25504900912066037e6,2.60585286299776845e7,2.60887343958012164e7,53610,10143
70733,1.77665743867362410e8,4.00633274052474927e6,4.24839473403753787e7,4.26724323615093306e7,16599,2508
70734,7.73393526678022593e7,4.58909061678523896e5,4.62055460364407953e6,4.64328788383265771e6,25955,5086
70735,3.62295729369895626e6,8.58028476966525704e3,5.16661017224722658e5,5.16732259498488973e5,2831,584
70757,5.51681836172190905e7,1.62023506543682655e5,1.19159056400444023e7,1.19170071259152442e7,37200,8208
70759,5.38544185582633540e7,6.94898940574284497e4,7.34083992281471193e6,7.34116881823095120e6,42337,10240
70765,3.05043061747572199e7,4.22942636445714379e4,3.81779488869857695e6,3.81802915349139459e6,24369,6616
70768,1.74329044289043434e7,4.96815239711339600e4,3.60771567254978325e6,3.60805773620453989e6,13104,3378
70770,5.82281407466287836e7,3.91929389537837706e5,9.03105756356881931e6,9.03955802917803451e6,36019,9682
70776,2.67209653688251674e7,2.75752779396952130e5,2.08390663202831778e6,2.10207194128953433e6,12138,3368
71701,8.51609218093369715e6,1.16880985362064403e4,9.20312583489860408e5,9.20386800740413368e5,6543,2219
71703,4.65428374548466206e7,3.67395206369116713e4,8.48576812868466415e6,8.48584766102815792e6,39193,14513
71709,3.47466706448230147e7,8.01567823812779825e4,5.17269525227504503e6,5.17331627514406946e6,22377,9500
71744,4.29515588793192282e7,7.22907266990999342e4,4.21011921383110899e6,4.21073980956275202e6,26476,9686
71746,1.51303874619143993e8,2.49865203722969955e6,1.09392212353444584e7,1.12209546491804011e7,58674,22062
71752,6.28629257436205968e7,1.17052413824551841e5,1.09673063289899379e7,1.09679309526220541e7,42420,18733
71755,4.97218521932450356e5,1.96459893310589814e3,7.59355696268887114e4,7.59609793481365341e4,597,307
71758,1.16154036491328962e7,5.53604161168569626e4,9.50924696629363112e5,9.52534804787876434e5,6626,3429
71777,3.89813656394671872e7,7.25332661247393553e4,5.14745658374650870e6,5.14796759471638501e6,28191,16091
71779,2.26953482087013647e7,3.12535133805499790e4,4.30600672270645946e6,4.30612014208752103e6,17831,12042
71780,1.41061222279850751e8,6.95443863581301179e5,2.01965871710999347e7,2.02085569877522774e7,77107,43950
71782,6.63565934352177978e7,1.82917960202366346e5,1.25832862682275753e7,1.25846156988733374e7,43480,27305
71788,1.66529394052502394e4,3.66364813925961471e2,3.58900645362670593e3,3.60765720392849244e3,31,14
72622,1.20643536718022954e7,1.35326110851696067e4,1.96226265917308559e6,1.96230932198463846e6,17936,12083
72623,7.89493543565391749e6,2.19293358240845919e4,1.10546925767833507e6,1.10568674381199619e6,10121,6779
72886,1.44362513778539937e3,2.11032125990796061e2,9.73268720571325616e2,9.95884812939097060e2,9,1
72887,2.13561501360045373e6,1.05614762887996985e4,2.79050207945267262e5,2.79250001496321929e5,2488,245
72892,3.97643046183997625e6,7.19663761359786622e3,9.34484979536102037e5,9.34512690428295056e5,7146,826
72893,1.57761291580925379e7,2.00758328822611838e4,2.99853153609018540e6,2.99859874141127523e6,24436,2329
72894,1.26459195730448719e7,2.81698641266638515e4,1.89860310608957731e6,1.89881207487679133e6,17001,2358
72895,2.55455908296816796e7,4.37464054807596258e5,5.79073212227305584e6,5.80723284458042961e6,21730,1741
72938,2.25780907800142770e5,1.51440263892241614e3,4.22094974429669674e4,4.22366557594302212e4,369,32
73233,2.08594078139262646e6,2.08815905201165224e4,4.69229810143863200e5,4.69694214942334278e5,2037,210
73235,5.05911681426276825e6,8.09197376988619508e4,3.94213434807605168e5,4.02432896433756512e5,3018,285
73236,1.99744016933420114e7,6.23124939360410426e4,3.12110477201859187e6,3.12172674089481356e6,26220,2426
73237,1.64353297632480785e7,4.02260443350363494e4,2.85164245234648185e6,2.85192615799699491e6,25618,2281
73238,1.12123313423727509e7,4.02692351837947281e4,3.11445419912682520e6,3.11471452460109117e6,19784,1579
73239,3.69349527589877248e7,2.55615445937025564e5,3.08256107196320081e6,3.09314112490595924e6,22555,1934
73244,1.08539952153745200e6,1.82613232451244839e4,4.34175977948506406e4,4.71016318712881039e4,260,13
73245,2.18640048918258119e6,4.82906679059662565e3,4.78141596310882131e5,4.78165981651545968e5,4493,345
73280,6.34905738897049450e5,2.67385686045165221e3,1.29658738880468547e5,1.29686306442059300e5,1186,104
73282,1.82411072383177379e4,6.09136700632275506e2,8.00115869448050489e3,8.02431230538282034e3,74,5
73431,1.18250481595587591e6,3.03335963546725998e3,2.10096423994656332e5,2.10118320586331742e5,1936,79
73437,1.16173826170021929e7,1.20705141473784563e5,9.29485587197180605e5,9.37290343482473982e5,7401,295
73438,4.60828257724353636e5,1.85112822216954078e3,7.79805576004706527e4,7.80025258525339887e4,718,34
73439,1.18582073742693886e7,4.29255640342973056e4,1.17963901181603549e6,1.18041975680093374e6,10426,409
73459,8.58059503120903100e4,6.89733575216415716e2,1.24084882891447360e4,1.24276431404600153e4,114,3
73460,5.52067895270131901e6,1.36031850249875733e4,5.68748321077481611e5,5.68910976666189963e5,5139,208
73461,8.48262802711582556e6,1.01914276292034883e4,1.19389405998739647e6,1.19393755769316107e6,10989,407
73462,9.84271931307635456e6,2.52957597524186349e4,1.26214159975104779e6,1.26239506228580675e6,11289,449
73463,2.69433686982040852e7,1.28473957893382612e5,1.51917075915497798e6,1.52459350429165317e6,11808,513
73468,9.27753288648099080e6,7.19139938374135236e4,6.51659611610533670e5,6.55615643432979006e5,5130,181
73469,9.03473992988593876e6,9.10600620752308168e3,1.22225338990994729e6,1.22228731012614584e6,11186,415
73470,5.32273061080194078e6,7.62199231701375629e3,7.19698476109557669e5,7.19738835468324716e5,6517,230
73471,1.26404399730370529e7,3.15816443416201291e4,1.20323246213741717e6,1.20364685776210600e6,10421,399
73600,1.48567039654116426e6,4.37676542645971585e3,2.26035501351188024e5,2.26077871421953139e5,2076,86
73602,1.35483623645795919e7,1.94857831410499421e4,1.35085077610321646e6,1.35099130827821465e6,11918,572
73603,1.28126963903965410e7,8.48032083597407036e4,9.18994786607524031e5,9.22899237165094935e5,7324,342
73606,2.40837251295804861e5,1.44166864557948475e3,3.32428077861740239e4,3.32740541261830513e4,304,15
73608,1.41394465056984201e7,3.83950086618162968e4,1.44987352691545291e6,1.45038181894989149e6,12565,506
73609,2.46685161881232113e7,1.75445956311587186e5,1.76452425332724024e6,1.77322506303236703e6,13621,552
73610,1.05210673045192510e7,2.28361836248757900e4,1.30734163430180936e6,1.30754106630020426e6,11689,412
73611,1.09925820829154439e7,2.37695816225744020e4,1.32349024817920872e6,1.32370367908983910e6,11707,431
73612,1.95021027497756146e7,1.05996296244209327e5,1.30398963246028195e6,1.30829055503026210e6,10293,403
73613,4.18932935681127850e6,1.16948654710282262e4,2.32090162058013782e5,2.32384623420958203e5,1900,72
73614,1.06442429272544868e7,1.41408298874496741e4,1.22885701106562698e6,1.22893836977899424e6,10938,411
73615,4.84703958734551631e6,6.77471576030732012e3,5.93051591130805667e5,5.93090285299306968e5,5313,183
73632,1.65270289808638524e7,3.98903808785032015e4,1.33015535926068039e6,1.33075336642690538e6,11362,404
73633,7.47192580589761138e7,7.71734311214241898e5,2.25671917552364850e6,2.38502731311015738e6,12211,469
73634,2.03943744535743594e7,1.24705705740606485e5,1.67584819701659586e6,1.68048168466307223e6,13281,642
73635,1.70995092025869228e7,3.39725962543314454e4,1.57362975033438671e6,1.57399641944755521e6,13337,541
73636,1.04288003836465999e7,1.70470864985772641e4,1.12156372108983272e6,1.12169326628225879e6,9680,353
73637,4.06216673288677819e5,1.79354334324946103e3,7.45686133383129491e4,7.45901796010905091e4,700,17
73638,1.96393087082227677e8,7.04727366323481221e6,7.04572291398344189e6,9.96525350732003897e6,7815,287
73640,1.64277673823990319e7,2.17064252069720533e4,1.51232480089079821e6,1.51248056922548870e6,13069,531
73641,2.95849353394166194e7,1.26625752578752086e5,1.83992828685307573e6,1.84428039678846812e6,14022,648
73642,2.53334661743925810e7,1.31874728334704880e5,1.46980503171722661e6,1.47570924481573584e6,11575,501
73643,1.25520269365185462e7,3.42884957011928855e4,1.07092537268946413e6,1.07147415032165777e6,8961,360
73644,2.69707615414915886e6,6.80966789045553196e3,2.71716997796882410e5,2.71802315053660481e5,2309,100
74083,2.62815289998630527e5,2.38291268757736952e3,1.03039959690139749e4,1.05759446767687587e4,65,6
74086,1.83977051412805878e7,4.05896867902299709e4,1.11621467085976712e6,1.11695242249448877e6,7805,1123
74087,4.89613223534044158e6,2.03725845788532934e4,3.97123953455461946e5,3.97646170119263756e5,2890,414
74089,3.73809439810911343e7,1.63174796913791506e5,1.55922878779255971e6,1.56774373767810408e6,9055,1376
74092,1.09244161461968452e8,1.22964861461183726e5,6.70015573468175437e6,6.70128399832024518e6,46474,7008
74093,1.04754244682162285e8,1.86194872661721049e5,6.66194601800174173e6,6.66454749231894780e6,46126,7379
74094,2.00616191479927301e7,1.10733394234568943e5,1.32365072144011431e6,1.32827448856312968e6,6693,1130
74095,1.65324792490074694e8,3.74484254110473325e5,8.66901232259264775e6,8.67709704370302893e6,55495,9733
74104,1.68045788687689006e7,2.20522763004559311e4,1.22875862309960183e6,1.22895649098398141e6,9193,1478
74106,1.43390719485803008e8,1.31035827172994544e6,7.72449178858065140e6,7.83484602223559935e6,45329,8182
74107,9.69724041082429513e6,6.31760824187734834e4,6.50066358943862841e5,6.53128998299964238e5,4391,888
74180,3.89962591803193763e7,5.62303806272407455e4,3.00320606110434234e6,3.00373242835631827e6,22373,4270
74181,1.25896644176841915e8,2.18244079346282553e5,8.30696215890143346e6,8.30982856547534745e6,57862,11594
74182,4.34822401561648352e5,2.00105657899364360e3,5.75857298191872760e4,5.76204868622330250e4,477,92
74183,6.15354501635708436e7,8.55150140720308118e4,4.48206010170431621e6,4.48287581502337009e6,33457,6650
74192,5.01048955633426458e7,2.59223689945662307e5,3.49511562724248739e6,3.50471541914941976e6,24432,4971
74194,9.78587097875608951e7,9.98693262378348300e4,7.72408456942801271e6,7.72473017768252734e6,58255,12911
74195,1.42923776265500835e6,3.43515933147439955e3,1.30652859093289895e5,1.30698010347838426e5,1074,248
74200,5.77697590091845989e8,2.55052138648189083e7,2.43473064910520017e7,3.52605624977732524e7,14428,3423
74201,5.95948974692289531e6,2.86563629275389321e4,3.38864634638126416e5,3.40074150362337474e5,2412,612
74877,1.61153893133720360e6,3.44560815443077736e4,8.08720385729199334e4,8.79062465262158512e4,427,136
74879,1.03108580090628343e6,1.19244181740117256e4,4.92600394785012177e4,5.06827706248602772e4,330,139
74965,5.73396521920334175e6,9.59523457856789173e3,6.72581284154475667e5,6.72649724835669040e5,5523,1362
75041,7.58141848694680491e5,3.00876895858562511e3,1.31158253539235215e5,1.31192759564346605e5,1139,478
75042,2.98531897092707641e7,6.07955755053632674e4,3.77666882252177689e6,3.77715812443814054e6,30911,12788
75043,1.01535895713913590e8,5.26613280879147700e5,9.59828798344562203e6,9.61272353502143174e6,72919,40687
75046,2.36870112376864738e5,1.48321469603113815e3,5.04898214724514401e4,5.05116026092475222e4,447,274
75048,6.21700899112516567e7,1.41816400393601303e5,6.12100776210191008e6,6.12265039955184981e6,47455,15869
75049,9.08707693635743558e7,2.21984171747070417e5,8.43576923553380929e6,8.43868944609794952e6,64250,27458
75050,9.71820530819193870e7,4.60600895733639773e5,7.70949890547546279e6,7.72324585641801171e6,56379,26038
75051,8.16411728423935771e7,3.21908221410308208e5,7.81967861968907900e6,7.82630172036793176e6,60207,25873
75052,2.32227426324112661e5,1.55890375885891672e3,5.67506577069381310e4,5.67720647070321065e4,456,183
75054,2.20461950621692697e6,1.57351761501233559e4,1.82006229891126248e5,1.82685148514204368e5,1187,605
75136,6.30856224337279126e7,2.56748010281080526e5,5.26476967880898621e6,5.27102640020800568e6,38648,10787
75137,1.05784004981145225e7,6.58110774264628562e4,6.92989108490453451e5,6.96107033722850261e5,4971,1990
75687,6.49693454886529408e6,1.35848104740742674e4,8.19860070842074114e5,8.19972611028433894e5,7072,1753
75696,6.95702447118499596e6,1.77871174332326445e4,8.75074505833620904e5,8.75255261227568612e5,7663,1426
75697,1.26620820548439585e7,3.62579343372060248e4,1.55721117305605533e6,1.55763322874578438e6,13587,2230
75698,4.53182519342895076e7,1.10140921449759306e5,5.63799112483843602e6,5.63906685067084245e6,48792,8852
75699,3.17526519072694033e7,1.20643106564025627e5,4.42943538884791918e6,4.43107804299808480e6,39317,5096
75702,2.26780121018889584e7,2.43516265277391140e4,2.71862721202898771e6,2.71873627255367534e6,24277,3851
75704,2.88788663105410673e7,3.16257796488342283e4,3.88243904116999917e6,3.88256784851719253e6,34142,6256
75705,1.07019120788529724e8,1.45703731170102814e6,9.03386445701409131e6,9.15061007558465935e6,45457,8231
75706,4.24893387960615456e7,5.35853646839284120e4,4.19088083629130619e6,4.19122339840076119e6,34437,7217
75707,6.60527762611660957e7,1.21342884137459041e5,6.34299922303636651e6,6.34415977407337539e6,52653,9199
75708,5.87997254766766448e6,2.33049384788023199e4,6.48146691009707865e5,6.48565535026595811e5,5600,903
75710,1.75507434591843858e7,3.31239281155362041e4,2.03227381701686862e6,2.03254374170548073e6,17556,2592
75711,1.70676883106009882e4,2.53738826962012212e2,1.15117761117046098e3,1.17881011395736982e3,11,4
75865,1.47389898810156081e7,7.59603852201931877e4,9.31343038845533738e5,9.34435570881606312e5,6680,1824
75867,3.02159840408238173e7,2.04952760725881031e5,2.35317351470482349e6,2.36208196818768606e6,17280,4956
75868,5.81198524576308876e7,1.01816800943435795e5,4.57892451240969170e6,4.58005636988243740e6,34439,10397
75869,1.83739969247185327e7,2.96982280140900148e4,1.36699036941497703e6,1.36731293229475175e6,10363,3419
75870,1.22941086157307774e8,2.21297290877046820e5,9.24929459601863474e6,9.25194158081907965e6,70424,21565
75871,3.51768633641958982e7,2.69829602346242813e5,2.29680487093350710e6,2.31260040418707347e6,14672,4767
75895,2.08368071850742996e7,1.92498620456486678e5,9.44246888053402072e5,9.63668980758530321e5,5958,3154
75900,3.76953953750657011e6,1.27790447106349457e4,3.11496666738473752e5,3.11758684518805647e5,2490,1023
75901,1.73255688792044550e8,1.46154071766942128e5,1.42182856243878547e7,1.42190367855691407e7,108546,60164
75903,3.41415559597957879e7,3.39523875073946372e5,2.27427610931085283e6,2.29948000276743853e6,15203,8733
76066,5.99959707692767866e6,6.98705159046487552e3,5.15917492838020262e5,5.15964803359876969e5,4164,2061
76072,1.32450459057773367e8,1.84706977118744224e5,9.76341989151984826e6,9.76516690310625359e6,72300,40913
76074,5.80492878984153504e5,2.54426543963270933e3,3.87682222811914908e4,3.88516195990743945e4,291,193
76179,3.17455635012390994e4,4.08143859230322676e2,4.75305447852556790e3,4.77054591065418663e3,42,6
76182,1.76808316264841557e7,7.72827473103428492e4,8.79603298575259279e5,8.82991837955657975e5,6038,750
76183,3.56186817229425237e7,1.89510911492585408e5,1.84541613296214724e6,1.85512131392308557e6,13153,1387
76184,7.21499846697837580e6,1.89024999619466325e4,7.06525805426126579e5,7.06778620388200623e5,6105,781
76185,3.82936375917601883e7,3.83024292920340667e4,2.88705001760868123e6,2.88730408517425787e6,24181,2496
76187,2.87983606632345803e7,6.74380670900701080e4,1.68936762745243381e6,1.69071312574815890e6,12673,1216
76188,8.65896493949956447e7,3.57822262277964212e5,4.76537205571142212e6,4.77878725208990928e6,31948,3911
76189,7.73343683076824397e7,2.44149807774156565e5,4.60500690306601580e6,4.61147456958420388e6,32956,4039
76190,6.14798818204042688e7,1.00840676763650161e5,3.92173859284794284e6,3.92303484979717107e6,30300,3513
76191,6.30174613680247739e7,2.21048463921013608e5,4.39798384497714508e6,4.40353543463451602e6,32531,4011
76205,6.20932115811137296e6,2.36321362637713682e4,2.04663014294832043e5,2.06022880488153751e5,1215,67
76208,7.59670765673009958e6,2.03038722093760116e4,4.30610918372426531e5,4.31089329777761071e5,3101,236
76209,3.06375588884516992e7,5.96588741849434809e4,1.37863728605860099e6,1.37992751540797972e6,9767,792
76210,6.40201265054187924e7,3.12180698699643661e5,2.32513553947344935e6,2.34599916145830834e6,12171,825
76211,5.72290698526839912e7,3.16845893842324498e5,2.47142803722040402e6,2.49165564707562281e6,15670,981
76212,1.16680936024205416e8,4.91503233517739223e5,4.39685537779410835e6,4.42424147643360030e6,24136,2159
76213,9.89312524192612320e7,2.52209901760142966e5,5.10081714297993854e6,5.10704859587843344e6,34065,4340
76214,9.97493422985400259e7,3.11132803105899249e5,4.42923088524670061e6,4.44014525167722441e6,25626,2418
76215,3.15086565753986575e7,7.41650526272684365e4,2.10768452806272032e6,2.10898898168439418e6,15982,2185
76216,7.84062422915851623e7,2.95466032940268749e5,3.45517225893426407e6,3.46778250695316307e6,20492,1968
76217,5.41434137536394373e7,1.90402927640018257e5,2.36560291016624356e6,2.37325312671044236e6,13826,1084
76218,1.19887573493086342e7,2.92546050257169991e5,5.22698683555500116e5,5.98996748999294243e5,1553,171
76220,4.25912759724672362e7,1.53325696034495486e5,1.65162373066897364e6,1.65872532891174033e6,9826,776
