moon_az,moon_alt,moon_phase,altitude,azimuth,integrated_SML (ph / (cm2 ns sr)
323.0,68.0,0.679,30.0,143.0,1.3001805980904693
323.0,68.0,0.679,30.0,233.0,1.547911952948271
323.0,68.0,0.679,30.0,323.0,2.368408117235559
323.0,68.0,0.679,30.0,53.0,1.547911952948271
323.0,68.0,0.679,50.0,143.0,1.100490541797981
323.0,68.0,0.679,50.0,233.0,1.4393266307250372
323.0,68.0,0.679,50.0,323.0,2.587937186116955
323.0,68.0,0.679,50.0,53.0,1.4393266307250372
323.0,68.0,0.679,75.0,143.0,1.3549394827347994
323.0,68.0,0.679,75.0,233.0,1.6991220323647136
323.0,68.0,0.679,75.0,323.0,2.899139432288642
323.0,68.0,0.679,75.0,53.0,1.6991220323647136
300.0,57.0,0.679,30.0,120.0,1.2716756011961667
300.0,57.0,0.679,30.0,210.0,1.4940680216120648
300.0,57.0,0.679,30.0,30.0,1.4940680216120648
300.0,57.0,0.679,30.0,300.0,2.9672525862588124
300.0,57.0,0.679,50.0,120.0,0.9851378239236633
300.0,57.0,0.679,50.0,210.0,1.3161144876752684
300.0,57.0,0.679,50.0,30.0,1.3161144876752684
300.0,57.0,0.679,50.0,300.0,3.5480163411643733
300.0,57.0,0.679,75.0,120.0,1.1166282563196774
300.0,57.0,0.679,75.0,210.0,1.3997658079521273
300.0,57.0,0.679,75.0,30.0,1.3997658079521273
300.0,57.0,0.679,75.0,300.0,2.098963641193865
288.0,45.0,0.679,30.0,108.0,1.2897485115104308
288.0,45.0,0.679,30.0,18.0,1.3986444455669311
288.0,45.0,0.679,30.0,198.0,1.3986444455669311
288.0,45.0,0.679,30.0,288.0,3.978240461960294
288.0,45.0,0.679,50.0,108.0,0.8996120837811638
288.0,45.0,0.679,50.0,18.0,1.151591431731672
288.0,45.0,0.679,50.0,198.0,1.151591431731672
288.0,45.0,0.679,50.0,288.0,3.884620179525874
288.0,45.0,0.679,75.0,108.0,0.908169218841162
288.0,45.0,0.679,75.0,18.0,1.1072429831470314
288.0,45.0,0.679,75.0,198.0,1.1072429831470314
288.0,45.0,0.679,75.0,288.0,1.5375688664453095
279.0,32.0,0.679,30.0,189.0,1.2638637788827902
279.0,32.0,0.679,30.0,279.0,7.737412811683645
