moon_az,moon_alt,moon_phase,altitude,azimuth,integrated_SML (ph / (cm2 ns sr)
239.0,-5.0,0.032,30.0,149.0,8.556237511536216e-05
239.0,-5.0,0.032,30.0,239.0,0.00018618406146570171
239.0,-5.0,0.032,30.0,329.0,8.556237511536216e-05
239.0,-5.0,0.032,30.0,59.0,6.640682612066745e-05
239.0,-5.0,0.032,50.0,149.0,6.375042765276745e-05
239.0,-5.0,0.032,50.0,239.0,9.624201526046412e-05
239.0,-5.0,0.032,50.0,329.0,6.375042765276745e-05
239.0,-5.0,0.032,50.0,59.0,6.037030163001923e-05
239.0,-5.0,0.032,75.0,149.0,5.336847062661773e-05
239.0,-5.0,0.032,75.0,239.0,5.8191689763097414e-05
239.0,-5.0,0.032,75.0,329.0,5.336847062661773e-05
239.0,-5.0,0.032,75.0,59.0,5.270050342451704e-05
232.0,-15.0,0.032,30.0,142.0,0.0
232.0,-15.0,0.032,30.0,232.0,0.0
232.0,-15.0,0.032,30.0,322.0,0.0
232.0,-15.0,0.032,30.0,52.0,0.0
232.0,-15.0,0.032,50.0,142.0,0.0
232.0,-15.0,0.032,50.0,232.0,0.0
232.0,-15.0,0.032,50.0,322.0,0.0
232.0,-15.0,0.032,50.0,52.0,0.0
232.0,-15.0,0.032,75.0,142.0,0.0
232.0,-15.0,0.032,75.0,232.0,0.0
232.0,-15.0,0.032,75.0,322.0,0.0
232.0,-15.0,0.032,75.0,52.0,0.0
222.0,-25.0,0.032,30.0,132.0,0.0
222.0,-25.0,0.032,30.0,222.0,0.0
222.0,-25.0,0.032,30.0,312.0,0.0
222.0,-25.0,0.032,30.0,42.0,0.0
222.0,-25.0,0.032,50.0,132.0,0.0
222.0,-25.0,0.032,50.0,222.0,0.0
222.0,-25.0,0.032,50.0,312.0,0.0
222.0,-25.0,0.032,50.0,42.0,0.0
222.0,-25.0,0.032,75.0,132.0,0.0
222.0,-25.0,0.032,75.0,222.0,0.0
222.0,-25.0,0.032,75.0,312.0,0.0
222.0,-25.0,0.032,75.0,42.0,0.0
211.0,-33.0,0.032,30.0,121.0,0.0
211.0,-33.0,0.032,30.0,211.0,0.0
211.0,-33.0,0.032,30.0,301.0,0.0
211.0,-33.0,0.032,30.0,31.0,0.0
211.0,-33.0,0.032,50.0,121.0,0.0
211.0,-33.0,0.032,50.0,211.0,0.0
211.0,-33.0,0.032,50.0,301.0,0.0
211.0,-33.0,0.032,50.0,31.0,0.0
211.0,-33.0,0.032,75.0,121.0,0.0
211.0,-33.0,0.032,75.0,211.0,0.0
211.0,-33.0,0.032,75.0,301.0,0.0
211.0,-33.0,0.032,75.0,31.0,0.0
196.0,-38.0,0.032,30.0,106.0,0.0
196.0,-38.0,0.032,30.0,16.0,0.0
196.0,-38.0,0.032,30.0,196.0,0.0
196.0,-38.0,0.032,30.0,286.0,0.0
196.0,-38.0,0.032,50.0,106.0,0.0
196.0,-38.0,0.032,50.0,16.0,0.0
196.0,-38.0,0.032,50.0,196.0,0.0
196.0,-38.0,0.032,50.0,286.0,0.0
196.0,-38.0,0.032,75.0,106.0,0.0
196.0,-38.0,0.032,75.0,16.0,0.0
196.0,-38.0,0.032,75.0,196.0,0.0
196.0,-38.0,0.032,75.0,286.0,0.0
180.0,-39.0,0.032,30.0,180.0,0.0
180.0,-39.0,0.032,30.0,270.0,0.0
180.0,-39.0,0.032,30.0,360.0,0.0
180.0,-39.0,0.032,30.0,90.0,0.0
180.0,-39.0,0.032,50.0,180.0,0.0
180.0,-39.0,0.032,50.0,270.0,0.0
180.0,-39.0,0.032,50.0,360.0,0.0
180.0,-39.0,0.032,50.0,90.0,0.0
180.0,-39.0,0.032,75.0,180.0,0.0
180.0,-39.0,0.032,75.0,270.0,0.0
180.0,-39.0,0.032,75.0,360.0,0.0
180.0,-39.0,0.032,75.0,90.0,0.0
164.0,-38.0,0.032,30.0,164.0,0.0
164.0,-38.0,0.032,30.0,254.0,0.0
164.0,-38.0,0.032,30.0,344.0,0.0
164.0,-38.0,0.032,30.0,74.0,0.0
164.0,-38.0,0.032,50.0,164.0,0.0
164.0,-38.0,0.032,50.0,254.0,0.0
164.0,-38.0,0.032,50.0,344.0,0.0
164.0,-38.0,0.032,50.0,74.0,0.0
164.0,-38.0,0.032,75.0,164.0,0.0
164.0,-38.0,0.032,75.0,254.0,0.0
164.0,-38.0,0.032,75.0,344.0,0.0
164.0,-38.0,0.032,75.0,74.0,0.0
150.0,-32.0,0.032,30.0,150.0,0.0
150.0,-32.0,0.032,30.0,240.0,0.0
150.0,-32.0,0.032,30.0,330.0,0.0
150.0,-32.0,0.032,30.0,60.0,0.0
150.0,-32.0,0.032,50.0,150.0,0.0
150.0,-32.0,0.032,50.0,240.0,0.0
150.0,-32.0,0.032,50.0,330.0,0.0
150.0,-32.0,0.032,50.0,60.0,0.0
150.0,-32.0,0.032,75.0,150.0,0.0
150.0,-32.0,0.032,75.0,240.0,0.0
150.0,-32.0,0.032,75.0,330.0,0.0
150.0,-32.0,0.032,75.0,60.0,0.0
