moon_az,moon_alt,moon_phase,altitude,azimuth,integrated_SML (ph / (cm2 ns sr)
32.0,46.0,0.934,30.0,122.0,3.5850493681053743
32.0,46.0,0.934,30.0,212.0,3.283366288971365
32.0,46.0,0.934,30.0,302.0,3.5850493681053743
32.0,46.0,0.934,30.0,32.0,9.713083052860823
32.0,46.0,0.934,50.0,122.0,2.9701374340063365
32.0,46.0,0.934,50.0,212.0,2.3111926999551344
32.0,46.0,0.934,50.0,302.0,2.9701374340063365
32.0,46.0,0.934,50.0,32.0,10.533726988730509
32.0,46.0,0.934,75.0,122.0,2.8757221635246473
32.0,46.0,0.934,75.0,212.0,2.3551405634668807
32.0,46.0,0.934,75.0,302.0,2.8757221635246473
32.0,46.0,0.934,75.0,32.0,4.011185032372192
12.0,51.0,0.934,30.0,102.0,3.7517182685433395
12.0,51.0,0.934,30.0,12.0,8.825705604019427
12.0,51.0,0.934,30.0,192.0,3.321616642490892
12.0,51.0,0.934,30.0,282.0,3.7517182685433395
12.0,51.0,0.934,50.0,102.0,3.1894450981740965
12.0,51.0,0.934,50.0,12.0,16.845365996025148
12.0,51.0,0.934,50.0,192.0,2.43044180859256
12.0,51.0,0.934,50.0,282.0,3.1894450981740965
12.0,51.0,0.934,75.0,102.0,3.1996055921074533
12.0,51.0,0.934,75.0,12.0,4.593534519547841
12.0,51.0,0.934,75.0,192.0,2.5891243943962876
12.0,51.0,0.934,75.0,282.0,3.1996055921074533
349.0,51.0,0.934,30.0,169.0,3.364202905876056
349.0,51.0,0.934,30.0,259.0,3.79348861806837
349.0,51.0,0.934,30.0,349.0,8.931770694282193
349.0,51.0,0.934,30.0,79.0,3.79348861806837
349.0,51.0,0.934,50.0,169.0,2.45702805258054
349.0,51.0,0.934,50.0,259.0,3.2214430066598645
349.0,51.0,0.934,50.0,349.0,17.073323433044138
349.0,51.0,0.934,50.0,79.0,3.2214430066598645
349.0,51.0,0.934,75.0,169.0,2.61189691693696
349.0,51.0,0.934,75.0,259.0,3.2262258918598303
349.0,51.0,0.934,75.0,349.0,4.625601998004618
349.0,51.0,0.934,75.0,79.0,3.2262258918598303
329.0,45.0,0.934,30.0,149.0,3.409284610348486
329.0,45.0,0.934,30.0,239.0,3.705606132616335
329.0,45.0,0.934,30.0,329.0,10.20794530150772
329.0,45.0,0.934,30.0,59.0,3.705606132616335
329.0,45.0,0.934,50.0,149.0,2.3897906093943484
329.0,45.0,0.934,50.0,239.0,3.0606551653508434
329.0,45.0,0.934,50.0,329.0,10.551882835868241
329.0,45.0,0.934,50.0,59.0,3.0606551653508434
329.0,45.0,0.934,75.0,149.0,2.421773156810981
329.0,45.0,0.934,75.0,239.0,2.952248279354383
329.0,45.0,0.934,75.0,329.0,4.103663567261406
329.0,45.0,0.934,75.0,59.0,2.952248279354383
314.0,37.0,0.934,30.0,134.0,3.4947928426449653
314.0,37.0,0.934,30.0,224.0,3.493881018421749
314.0,37.0,0.934,30.0,314.0,13.176027861971116
314.0,37.0,0.934,30.0,44.0,3.493881018421749
314.0,37.0,0.934,50.0,134.0,2.307088542976807
314.0,37.0,0.934,50.0,224.0,2.764665897009814
314.0,37.0,0.934,50.0,314.0,7.341271883718571
314.0,37.0,0.934,50.0,44.0,2.764665897009814
314.0,37.0,0.934,75.0,134.0,2.136604096217663
314.0,37.0,0.934,75.0,224.0,2.528508554453246
314.0,37.0,0.934,75.0,314.0,3.3526613888009593
314.0,37.0,0.934,75.0,44.0,2.528508554453246
303.0,26.0,0.934,30.0,123.0,3.5446408865312224
303.0,26.0,0.934,30.0,213.0,3.155489528515285
303.0,26.0,0.934,30.0,303.0,14.751383179069432
303.0,26.0,0.934,30.0,33.0,3.155489528515285
303.0,26.0,0.934,50.0,123.0,2.2227641367575637
303.0,26.0,0.934,50.0,213.0,2.385502028868058
303.0,26.0,0.934,50.0,303.0,5.222426799243038
303.0,26.0,0.934,50.0,33.0,2.385502028868058
303.0,26.0,0.934,75.0,123.0,1.8392250760009474
303.0,26.0,0.934,75.0,213.0,2.0729384968258397
303.0,26.0,0.934,75.0,303.0,2.5902863247651253
303.0,26.0,0.934,75.0,33.0,2.0729384968258397
294.0,14.0,0.934,30.0,114.0,3.274974072113215
294.0,14.0,0.934,30.0,204.0,2.567395378516236
294.0,14.0,0.934,30.0,24.0,2.567395378516236
294.0,14.0,0.934,30.0,294.0,7.612845876215155
294.0,14.0,0.934,50.0,114.0,2.002212303508323
294.0,14.0,0.934,50.0,204.0,1.8721812891045027
294.0,14.0,0.934,50.0,24.0,1.8721812891045027
294.0,14.0,0.934,50.0,294.0,3.3626047610491288
294.0,14.0,0.934,75.0,114.0,1.4898616858044718
294.0,14.0,0.934,75.0,204.0,1.5661858206556425
294.0,14.0,0.934,75.0,24.0,1.5661858206556425
294.0,14.0,0.934,75.0,294.0,1.8269529672511302
288.0,2.0,0.934,30.0,108.0,1.4642196266725178
288.0,2.0,0.934,30.0,18.0,1.001704099539705
288.0,2.0,0.934,30.0,198.0,1.001704099539705
288.0,2.0,0.934,30.0,288.0,1.8760961725765375
288.0,2.0,0.934,50.0,108.0,0.8893761684515408
288.0,2.0,0.934,50.0,18.0,0.7205614122524189
288.0,2.0,0.934,50.0,198.0,0.7205614122524189
288.0,2.0,0.934,50.0,288.0,0.9932310942525591
288.0,2.0,0.934,75.0,108.0,0.6126300100961782
288.0,2.0,0.934,75.0,18.0,0.5940201927761304
288.0,2.0,0.934,75.0,198.0,0.5940201927761304
288.0,2.0,0.934,75.0,288.0,0.6306395977396235
