moon_az,moon_alt,moon_phase,altitude,azimuth,integrated_SML (ph / (cm2 ns sr)
292.0,63.0,0.569,30.0,112.0,0.8595036318656608
292.0,63.0,0.569,30.0,202.0,1.0252708921945402
292.0,63.0,0.569,30.0,22.0,1.0252708921945402
292.0,63.0,0.569,30.0,292.0,1.7460426242308107
292.0,63.0,0.569,50.0,112.0,0.7017112231392991
292.0,63.0,0.569,50.0,202.0,0.9330195482699136
292.0,63.0,0.569,50.0,22.0,0.9330195482699136
292.0,63.0,0.569,50.0,292.0,1.9518482586921266
292.0,63.0,0.569,75.0,112.0,0.8354797982523318
292.0,63.0,0.569,75.0,202.0,1.0504921478886993
292.0,63.0,0.569,75.0,22.0,1.0504921478886993
292.0,63.0,0.569,75.0,292.0,1.6652887330629595
281.0,50.0,0.569,30.0,101.0,0.858275983224449
281.0,50.0,0.569,30.0,11.0,0.9687074807638617
281.0,50.0,0.569,30.0,191.0,0.9687074807638617
281.0,50.0,0.569,30.0,281.0,2.342287870847616
281.0,50.0,0.569,50.0,101.0,0.6251168421762452
281.0,50.0,0.569,50.0,11.0,0.8214377365262291
281.0,50.0,0.569,50.0,191.0,0.8214377365262291
281.0,50.0,0.569,50.0,281.0,4.616277578920346
281.0,50.0,0.569,75.0,101.0,0.6645017652374963
281.0,50.0,0.569,75.0,11.0,0.8220236441545515
281.0,50.0,0.569,75.0,191.0,0.8220236441545515
281.0,50.0,0.569,75.0,281.0,1.1799062814102443
273.0,37.0,0.569,30.0,183.0,0.8879734982300295
273.0,37.0,0.569,30.0,273.0,3.4117340688963087
273.0,37.0,0.569,30.0,3.0,0.8879734982300295
273.0,37.0,0.569,30.0,93.0,0.885212280054154
273.0,37.0,0.569,50.0,183.0,0.7024085109025325
273.0,37.0,0.569,50.0,273.0,1.8819301219837747
273.0,37.0,0.569,50.0,3.0,0.7024085109025325
273.0,37.0,0.569,50.0,93.0,0.5838711274528183
273.0,37.0,0.569,75.0,183.0,0.6430723477011168
273.0,37.0,0.569,75.0,273.0,0.8551804537574179
273.0,37.0,0.569,75.0,3.0,0.6430723477011168
273.0,37.0,0.569,75.0,93.0,0.5420215560490006
267.0,24.0,0.569,30.0,177.0,0.7779457647132465
267.0,24.0,0.569,30.0,267.0,3.158149083827952
267.0,24.0,0.569,30.0,357.0,0.7779457647132465
267.0,24.0,0.569,30.0,87.0,0.897774822076903
267.0,24.0,0.569,50.0,177.0,0.5808750437487878
267.0,24.0,0.569,50.0,267.0,1.225018612369249
267.0,24.0,0.569,50.0,357.0,0.5808750437487878
267.0,24.0,0.569,50.0,87.0,0.5570925281600329
267.0,24.0,0.569,75.0,177.0,0.5000042901702899
267.0,24.0,0.569,75.0,267.0,0.6167528430399469
267.0,24.0,0.569,75.0,357.0,0.5000042901702899
267.0,24.0,0.569,75.0,87.0,0.4490751902735202
262.0,10.0,0.569,30.0,172.0,0.5718476565654501
262.0,10.0,0.569,30.0,262.0,1.5152124619048348
262.0,10.0,0.569,30.0,352.0,0.5718476565654501
262.0,10.0,0.569,30.0,82.0,0.7598632314671305
262.0,10.0,0.569,50.0,172.0,0.412693728516472
262.0,10.0,0.569,50.0,262.0,0.6925484416124648
262.0,10.0,0.569,50.0,352.0,0.412693728516472
262.0,10.0,0.569,50.0,82.0,0.46323607153302665
262.0,10.0,0.569,75.0,172.0,0.34300473623105987
262.0,10.0,0.569,75.0,262.0,0.3893426560327613
262.0,10.0,0.569,75.0,352.0,0.34300473623105987
262.0,10.0,0.569,75.0,82.0,0.3333189383359281
256.0,-3.0,0.569,30.0,166.0,0.03246294532278083
256.0,-3.0,0.569,30.0,256.0,0.05144292251503745
256.0,-3.0,0.569,30.0,346.0,0.03246294532278083
256.0,-3.0,0.569,30.0,76.0,0.04028434450632341
256.0,-3.0,0.569,50.0,166.0,0.02376191449134335
256.0,-3.0,0.569,50.0,256.0,0.030345744656040737
256.0,-3.0,0.569,50.0,346.0,0.02376191449134335
256.0,-3.0,0.569,50.0,76.0,0.02820641757632205
256.0,-3.0,0.569,75.0,166.0,0.019731699760450198
256.0,-3.0,0.569,75.0,256.0,0.020489404735614232
256.0,-3.0,0.569,75.0,346.0,0.019731699760450198
256.0,-3.0,0.569,75.0,76.0,0.020531003209508646
250.0,-15.0,0.569,30.0,160.0,0.0
250.0,-15.0,0.569,30.0,250.0,0.0
250.0,-15.0,0.569,30.0,340.0,0.0
250.0,-15.0,0.569,30.0,70.0,0.0
250.0,-15.0,0.569,50.0,160.0,0.0
250.0,-15.0,0.569,50.0,250.0,0.0
250.0,-15.0,0.569,50.0,340.0,0.0
250.0,-15.0,0.569,50.0,70.0,0.0
250.0,-15.0,0.569,75.0,160.0,0.0
250.0,-15.0,0.569,75.0,250.0,0.0
250.0,-15.0,0.569,75.0,340.0,0.0
250.0,-15.0,0.569,75.0,70.0,0.0
242.0,-28.0,0.569,30.0,152.0,0.0
242.0,-28.0,0.569,30.0,242.0,0.0
242.0,-28.0,0.569,30.0,332.0,0.0
242.0,-28.0,0.569,30.0,62.0,0.0
242.0,-28.0,0.569,50.0,152.0,0.0
242.0,-28.0,0.569,50.0,242.0,0.0
242.0,-28.0,0.569,50.0,332.0,0.0
242.0,-28.0,0.569,50.0,62.0,0.0
242.0,-28.0,0.569,75.0,152.0,0.0
242.0,-28.0,0.569,75.0,242.0,0.0
242.0,-28.0,0.569,75.0,332.0,0.0
242.0,-28.0,0.569,75.0,62.0,0.0
