moon_az,moon_alt,moon_phase,altitude,azimuth,integrated_SML (ph / (cm2 ns sr)
231.0,-28.0,0.002,30.0,141.0,0.0
231.0,-28.0,0.002,30.0,231.0,0.0
231.0,-28.0,0.002,30.0,321.0,0.0
231.0,-28.0,0.002,30.0,51.0,0.0
231.0,-28.0,0.002,50.0,141.0,0.0
231.0,-28.0,0.002,50.0,231.0,0.0
231.0,-28.0,0.002,50.0,321.0,0.0
231.0,-28.0,0.002,50.0,51.0,0.0
231.0,-28.0,0.002,75.0,141.0,0.0
231.0,-28.0,0.002,75.0,231.0,0.0
231.0,-28.0,0.002,75.0,321.0,0.0
231.0,-28.0,0.002,75.0,51.0,0.0
219.0,-37.0,0.002,30.0,129.0,0.0
219.0,-37.0,0.002,30.0,219.0,0.0
219.0,-37.0,0.002,30.0,309.0,0.0
219.0,-37.0,0.002,30.0,39.0,0.0
219.0,-37.0,0.002,50.0,129.0,0.0
219.0,-37.0,0.002,50.0,219.0,0.0
219.0,-37.0,0.002,50.0,309.0,0.0
219.0,-37.0,0.002,50.0,39.0,0.0
219.0,-37.0,0.002,75.0,129.0,0.0
219.0,-37.0,0.002,75.0,219.0,0.0
219.0,-37.0,0.002,75.0,309.0,0.0
219.0,-37.0,0.002,75.0,39.0,0.0
203.0,-44.0,0.002,30.0,113.0,0.0
203.0,-44.0,0.002,30.0,203.0,0.0
203.0,-44.0,0.002,30.0,23.0,0.0
203.0,-44.0,0.002,30.0,293.0,0.0
203.0,-44.0,0.002,50.0,113.0,0.0
203.0,-44.0,0.002,50.0,203.0,0.0
203.0,-44.0,0.002,50.0,23.0,0.0
203.0,-44.0,0.002,50.0,293.0,0.0
203.0,-44.0,0.002,75.0,113.0,0.0
203.0,-44.0,0.002,75.0,203.0,0.0
203.0,-44.0,0.002,75.0,23.0,0.0
203.0,-44.0,0.002,75.0,293.0,0.0
184.0,-47.0,0.002,30.0,184.0,0.0
184.0,-47.0,0.002,30.0,274.0,0.0
184.0,-47.0,0.002,30.0,4.0,0.0
184.0,-47.0,0.002,30.0,94.0,0.0
184.0,-47.0,0.002,50.0,184.0,0.0
184.0,-47.0,0.002,50.0,274.0,0.0
184.0,-47.0,0.002,50.0,4.0,0.0
184.0,-47.0,0.002,50.0,94.0,0.0
184.0,-47.0,0.002,75.0,184.0,0.0
184.0,-47.0,0.002,75.0,274.0,0.0
184.0,-47.0,0.002,75.0,4.0,0.0
184.0,-47.0,0.002,75.0,94.0,0.0
165.0,-45.0,0.002,30.0,165.0,0.0
165.0,-45.0,0.002,30.0,255.0,0.0
165.0,-45.0,0.002,30.0,345.0,0.0
165.0,-45.0,0.002,30.0,75.0,0.0
165.0,-45.0,0.002,50.0,165.0,0.0
165.0,-45.0,0.002,50.0,255.0,0.0
165.0,-45.0,0.002,50.0,345.0,0.0
165.0,-45.0,0.002,50.0,75.0,0.0
165.0,-45.0,0.002,75.0,165.0,0.0
165.0,-45.0,0.002,75.0,255.0,0.0
165.0,-45.0,0.002,75.0,345.0,0.0
165.0,-45.0,0.002,75.0,75.0,0.0
148.0,-40.0,0.002,30.0,148.0,0.0
148.0,-40.0,0.002,30.0,238.0,0.0
148.0,-40.0,0.002,30.0,328.0,0.0
148.0,-40.0,0.002,30.0,58.0,0.0
148.0,-40.0,0.002,50.0,148.0,0.0
148.0,-40.0,0.002,50.0,238.0,0.0
148.0,-40.0,0.002,50.0,328.0,0.0
148.0,-40.0,0.002,50.0,58.0,0.0
148.0,-40.0,0.002,75.0,148.0,0.0
148.0,-40.0,0.002,75.0,238.0,0.0
148.0,-40.0,0.002,75.0,328.0,0.0
148.0,-40.0,0.002,75.0,58.0,0.0
135.0,-32.0,0.002,30.0,135.0,0.0
135.0,-32.0,0.002,30.0,225.0,0.0
135.0,-32.0,0.002,30.0,315.0,0.0
135.0,-32.0,0.002,30.0,45.0,0.0
135.0,-32.0,0.002,50.0,135.0,0.0
135.0,-32.0,0.002,50.0,225.0,0.0
135.0,-32.0,0.002,50.0,315.0,0.0
135.0,-32.0,0.002,50.0,45.0,0.0
135.0,-32.0,0.002,75.0,135.0,0.0
135.0,-32.0,0.002,75.0,225.0,0.0
135.0,-32.0,0.002,75.0,315.0,0.0
135.0,-32.0,0.002,75.0,45.0,0.0
125.0,-21.0,0.002,30.0,125.0,0.0
125.0,-21.0,0.002,30.0,215.0,0.0
125.0,-21.0,0.002,30.0,305.0,0.0
125.0,-21.0,0.002,30.0,35.0,0.0
125.0,-21.0,0.002,50.0,125.0,0.0
125.0,-21.0,0.002,50.0,215.0,0.0
125.0,-21.0,0.002,50.0,305.0,0.0
125.0,-21.0,0.002,50.0,35.0,0.0
125.0,-21.0,0.002,75.0,125.0,0.0
125.0,-21.0,0.002,75.0,215.0,0.0
125.0,-21.0,0.002,75.0,305.0,0.0
125.0,-21.0,0.002,75.0,35.0,0.0
