moon_az,moon_alt,moon_phase,altitude,azimuth,integrated_SML (ph / (cm2 ns sr)
19.0,57.0,0.867,30.0,109.0,2.8441369786182826
19.0,57.0,0.867,30.0,19.0,5.712227148995365
19.0,57.0,0.867,30.0,199.0,2.4310937994971575
19.0,57.0,0.867,30.0,289.0,2.8441369786182826
19.0,57.0,0.867,50.0,109.0,2.4946418072478895
19.0,57.0,0.867,50.0,19.0,6.967219470290353
19.0,57.0,0.867,50.0,199.0,1.8714988952746028
19.0,57.0,0.867,50.0,289.0,2.4946418072478895
19.0,57.0,0.867,75.0,109.0,2.6332629546516633
19.0,57.0,0.867,75.0,19.0,3.9217468380616407
19.0,57.0,0.867,75.0,199.0,2.104527176176626
19.0,57.0,0.867,75.0,289.0,2.6332629546516633
352.0,57.0,0.867,30.0,172.0,2.4670959913404773
352.0,57.0,0.867,30.0,262.0,2.8956779498425513
352.0,57.0,0.867,30.0,352.0,5.670871574911767
352.0,57.0,0.867,30.0,82.0,2.8956779498425513
352.0,57.0,0.867,50.0,172.0,1.9142310928550157
352.0,57.0,0.867,50.0,262.0,2.552929587829406
352.0,57.0,0.867,50.0,352.0,6.799777114328305
352.0,57.0,0.867,50.0,82.0,2.552929587829406
352.0,57.0,0.867,75.0,172.0,2.1697801306475966
352.0,57.0,0.867,75.0,262.0,2.7182058002124494
352.0,57.0,0.867,75.0,352.0,4.075260416926886
352.0,57.0,0.867,75.0,82.0,2.7182058002124494
328.0,52.0,0.867,30.0,148.0,2.4862769885597227
328.0,52.0,0.867,30.0,238.0,2.8460230212197595
328.0,52.0,0.867,30.0,328.0,6.394993787013488
328.0,52.0,0.867,30.0,58.0,2.8460230212197595
328.0,52.0,0.867,50.0,148.0,1.846847988338746
328.0,52.0,0.867,50.0,238.0,2.4422900413212414
328.0,52.0,0.867,50.0,328.0,9.372976331500736
328.0,52.0,0.867,50.0,58.0,2.4422900413212414
328.0,52.0,0.867,75.0,148.0,2.0018300670611047
328.0,52.0,0.867,75.0,238.0,2.483984885735781
