moon_az,moon_alt,moon_phase,altitude,azimuth,integrated_SML (ph / (cm2 ns sr)
41.0,35.0,0.978,30.0,131.0,4.382045376270925
41.0,35.0,0.978,30.0,221.0,4.49267205228665
41.0,35.0,0.978,30.0,311.0,4.382045376270925
41.0,35.0,0.978,30.0,41.0,18.470568457086358
41.0,35.0,0.978,50.0,131.0,3.4321673925790126
41.0,35.0,0.978,50.0,221.0,2.9278481119548028
41.0,35.0,0.978,50.0,311.0,3.4321673925790126
41.0,35.0,0.978,50.0,41.0,8.69596051396426
41.0,35.0,0.978,75.0,131.0,3.1014982985551462
41.0,35.0,0.978,75.0,221.0,2.6468554677829337
41.0,35.0,0.978,75.0,311.0,3.1014982985551462
41.0,35.0,0.978,75.0,41.0,4.055160390926258
26.0,42.0,0.978,30.0,116.0,4.730712391481087
26.0,42.0,0.978,30.0,206.0,4.507862464483975
26.0,42.0,0.978,30.0,26.0,14.841209469592522
26.0,42.0,0.978,30.0,296.0,4.730712391481087
26.0,42.0,0.978,50.0,116.0,3.8334701392761357
26.0,42.0,0.978,50.0,206.0,3.0775081800226998
26.0,42.0,0.978,50.0,26.0,11.45582862537418
26.0,42.0,0.978,50.0,296.0,3.8334701392761357
26.0,42.0,0.978,75.0,116.0,3.60512228415801
26.0,42.0,0.978,75.0,206.0,2.996137459675268
26.0,42.0,0.978,75.0,26.0,4.911692595558629
26.0,42.0,0.978,75.0,296.0,3.60512228415801
7.0,45.0,0.978,30.0,187.0,4.542666617572304
7.0,45.0,0.978,30.0,277.0,4.926718219478717
7.0,45.0,0.978,30.0,7.0,13.579173094798543
7.0,45.0,0.978,30.0,97.0,4.926718219478717
7.0,45.0,0.978,50.0,187.0,3.182350793457888
7.0,45.0,0.978,50.0,277.0,4.067154431216806
7.0,45.0,0.978,50.0,7.0,13.897437559093547
7.0,45.0,0.978,50.0,97.0,4.067154431216806
7.0,45.0,0.978,75.0,187.0,3.218294702852923
7.0,45.0,0.978,75.0,277.0,3.918725405842184
7.0,45.0,0.978,75.0,7.0,5.4371770905512875
7.0,45.0,0.978,75.0,97.0,3.918725405842184
348.0,44.0,0.978,30.0,168.0,4.605981127425025
348.0,44.0,0.978,30.0,258.0,4.959438354809597
348.0,44.0,0.978,30.0,348.0,14.03055300408804
348.0,44.0,0.978,30.0,78.0,4.959438354809597
348.0,44.0,0.978,50.0,168.0,3.206435697597188
348.0,44.0,0.978,50.0,258.0,4.075623635022326
348.0,44.0,0.978,50.0,348.0,13.404154973487925
348.0,44.0,0.978,50.0,78.0,4.075623635022326
348.0,44.0,0.978,75.0,168.0,3.2147973974375437
348.0,44.0,0.978,75.0,258.0,3.9038164877471178
348.0,44.0,0.978,75.0,348.0,5.392018879008616
348.0,44.0,0.978,75.0,78.0,3.9038164877471178
330.0,39.0,0.978,30.0,150.0,4.705770499051881
330.0,39.0,0.978,30.0,240.0,4.822196473478585
330.0,39.0,0.978,30.0,330.0,16.200716064931466
330.0,39.0,0.978,30.0,60.0,4.822196473478585
330.0,39.0,0.978,50.0,150.0,3.1632337971602986
330.0,39.0,0.978,50.0,240.0,3.863839913984656
330.0,39.0,0.978,50.0,330.0,10.815883686686103
330.0,39.0,0.978,50.0,60.0,3.863839913984656
330.0,39.0,0.978,75.0,150.0,3.0020126784169796
330.0,39.0,0.978,75.0,240.0,3.5842148659672755
330.0,39.0,0.978,75.0,330.0,4.8186618025133345
330.0,39.0,0.978,75.0,60.0,3.5842148659672755
317.0,31.0,0.978,30.0,137.0,4.804573164460071
317.0,31.0,0.978,30.0,227.0,4.517709170756344
317.0,31.0,0.978,30.0,317.0,28.39476448969534
317.0,31.0,0.978,30.0,47.0,4.517709170756344
317.0,31.0,0.978,50.0,137.0,3.0828397313686713
317.0,31.0,0.978,50.0,227.0,3.487616471539307
317.0,31.0,0.978,50.0,317.0,8.307914351573745
317.0,31.0,0.978,50.0,47.0,3.487616471539307
317.0,31.0,0.978,75.0,137.0,2.6823777992861033
317.0,31.0,0.978,75.0,227.0,3.1004831385718434
317.0,31.0,0.978,75.0,317.0,3.98240594955344
317.0,31.0,0.978,75.0,47.0,3.1004831385718434
306.0,21.0,0.978,30.0,126.0,4.757388770045133
306.0,21.0,0.978,30.0,216.0,4.0119222658171125
306.0,21.0,0.978,30.0,306.0,14.602819016470244
306.0,21.0,0.978,30.0,36.0,4.0119222658171125
306.0,21.0,0.978,50.0,126.0,2.9459477641499703
306.0,21.0,0.978,50.0,216.0,2.9743342364948573
306.0,21.0,0.978,50.0,306.0,5.971434007097406
306.0,21.0,0.978,50.0,36.0,2.9743342364948573
306.0,21.0,0.978,75.0,126.0,2.315693104970669
306.0,21.0,0.978,75.0,216.0,2.5423477259812404
306.0,21.0,0.978,75.0,306.0,3.083032780625422
306.0,21.0,0.978,75.0,36.0,2.5423477259812404
298.0,10.0,0.978,30.0,118.0,3.9744808258635738
298.0,10.0,0.978,30.0,208.0,2.9767265706083346
298.0,10.0,0.978,30.0,28.0,2.9767265706083346
298.0,10.0,0.978,30.0,298.0,7.708081468649341
298.0,10.0,0.978,50.0,118.0,2.4307739951371374
298.0,10.0,0.978,50.0,208.0,2.1519292720066057
298.0,10.0,0.978,50.0,28.0,2.1519292720066057
298.0,10.0,0.978,50.0,298.0,3.5590703591898976
298.0,10.0,0.978,75.0,118.0,1.7455679546529543
298.0,10.0,0.978,75.0,208.0,1.788963275709563
298.0,10.0,0.978,75.0,28.0,1.788963275709563
298.0,10.0,0.978,75.0,298.0,2.0212990461507863
