moon_az,moon_alt,moon_phase,altitude,azimuth,integrated_SML (ph / (cm2 ns sr)
235.0,-17.0,0.005,30.0,145.0,0.0
235.0,-17.0,0.005,30.0,235.0,0.0
235.0,-17.0,0.005,30.0,325.0,0.0
235.0,-17.0,0.005,30.0,55.0,0.0
235.0,-17.0,0.005,50.0,145.0,0.0
235.0,-17.0,0.005,50.0,235.0,0.0
235.0,-17.0,0.005,50.0,325.0,0.0
235.0,-17.0,0.005,50.0,55.0,0.0
235.0,-17.0,0.005,75.0,145.0,0.0
235.0,-17.0,0.005,75.0,235.0,0.0
235.0,-17.0,0.005,75.0,325.0,0.0
235.0,-17.0,0.005,75.0,55.0,0.0
226.0,-27.0,0.005,30.0,136.0,0.0
226.0,-27.0,0.005,30.0,226.0,0.0
226.0,-27.0,0.005,30.0,316.0,0.0
226.0,-27.0,0.005,30.0,46.0,0.0
226.0,-27.0,0.005,50.0,136.0,0.0
226.0,-27.0,0.005,50.0,226.0,0.0
226.0,-27.0,0.005,50.0,316.0,0.0
226.0,-27.0,0.005,50.0,46.0,0.0
226.0,-27.0,0.005,75.0,136.0,0.0
226.0,-27.0,0.005,75.0,226.0,0.0
226.0,-27.0,0.005,75.0,316.0,0.0
226.0,-27.0,0.005,75.0,46.0,0.0
214.0,-35.0,0.005,30.0,124.0,0.0
214.0,-35.0,0.005,30.0,214.0,0.0
214.0,-35.0,0.005,30.0,304.0,0.0
214.0,-35.0,0.005,30.0,34.0,0.0
214.0,-35.0,0.005,50.0,124.0,0.0
214.0,-35.0,0.005,50.0,214.0,0.0
214.0,-35.0,0.005,50.0,304.0,0.0
214.0,-35.0,0.005,50.0,34.0,0.0
214.0,-35.0,0.005,75.0,124.0,0.0
214.0,-35.0,0.005,75.0,214.0,0.0
214.0,-35.0,0.005,75.0,304.0,0.0
214.0,-35.0,0.005,75.0,34.0,0.0
199.0,-40.0,0.005,30.0,109.0,0.0
199.0,-40.0,0.005,30.0,19.0,0.0
199.0,-40.0,0.005,30.0,289.0,0.0
199.0,-40.0,0.005,50.0,109.0,0.0
199.0,-40.0,0.005,50.0,19.0,0.0
199.0,-40.0,0.005,50.0,199.0,0.0
199.0,-40.0,0.005,50.0,289.0,0.0
199.0,-40.0,0.005,75.0,109.0,0.0
199.0,-40.0,0.005,75.0,19.0,0.0
199.0,-40.0,0.005,75.0,199.0,0.0
199.0,-40.0,0.005,75.0,289.0,0.0
181.0,-43.0,0.005,30.0,1.0,0.0
181.0,-43.0,0.005,30.0,181.0,0.0
181.0,-43.0,0.005,30.0,271.0,0.0
181.0,-43.0,0.005,30.0,91.0,0.0
181.0,-43.0,0.005,50.0,1.0,0.0
181.0,-43.0,0.005,50.0,181.0,0.0
181.0,-43.0,0.005,50.0,271.0,0.0
181.0,-43.0,0.005,50.0,91.0,0.0
181.0,-43.0,0.005,75.0,1.0,0.0
181.0,-43.0,0.005,75.0,181.0,0.0
181.0,-43.0,0.005,75.0,271.0,0.0
181.0,-43.0,0.005,75.0,91.0,0.0
164.0,-41.0,0.005,30.0,164.0,0.0
164.0,-41.0,0.005,30.0,254.0,0.0
164.0,-41.0,0.005,30.0,344.0,0.0
164.0,-41.0,0.005,30.0,74.0,0.0
164.0,-41.0,0.005,50.0,164.0,0.0
164.0,-41.0,0.005,50.0,254.0,0.0
164.0,-41.0,0.005,50.0,344.0,0.0
164.0,-41.0,0.005,50.0,74.0,0.0
164.0,-41.0,0.005,75.0,164.0,0.0
164.0,-41.0,0.005,75.0,254.0,0.0
164.0,-41.0,0.005,75.0,344.0,0.0
164.0,-41.0,0.005,75.0,74.0,0.0
149.0,-35.0,0.005,30.0,149.0,0.0
149.0,-35.0,0.005,30.0,239.0,0.0
149.0,-35.0,0.005,30.0,329.0,0.0
149.0,-35.0,0.005,30.0,59.0,0.0
149.0,-35.0,0.005,50.0,149.0,0.0
149.0,-35.0,0.005,50.0,239.0,0.0
149.0,-35.0,0.005,50.0,329.0,0.0
149.0,-35.0,0.005,50.0,59.0,0.0
149.0,-35.0,0.005,75.0,149.0,0.0
149.0,-35.0,0.005,75.0,239.0,0.0
149.0,-35.0,0.005,75.0,329.0,0.0
149.0,-35.0,0.005,75.0,59.0,0.0
137.0,-27.0,0.005,30.0,137.0,0.0
137.0,-27.0,0.005,30.0,227.0,0.0
137.0,-27.0,0.005,30.0,317.0,0.0
137.0,-27.0,0.005,30.0,47.0,0.0
137.0,-27.0,0.005,50.0,137.0,0.0
137.0,-27.0,0.005,50.0,227.0,0.0
137.0,-27.0,0.005,50.0,317.0,0.0
137.0,-27.0,0.005,50.0,47.0,0.0
137.0,-27.0,0.005,75.0,137.0,0.0
137.0,-27.0,0.005,75.0,227.0,0.0
137.0,-27.0,0.005,75.0,317.0,0.0
137.0,-27.0,0.005,75.0,47.0,0.0
