moon_az,moon_alt,moon_phase,altitude,azimuth,integrated_SML (ph / (cm2 ns sr)
247.0,19.0,0.152,30.0,157.0,0.07109060612762289
247.0,19.0,0.152,30.0,247.0,0.24904585921917452
247.0,19.0,0.152,30.0,337.0,0.07109060612762289
247.0,19.0,0.152,30.0,67.0,0.08562849962002313
247.0,19.0,0.152,50.0,157.0,0.05218995850638154
247.0,19.0,0.152,50.0,247.0,0.1035162620646537
247.0,19.0,0.152,50.0,337.0,0.05218995850638154
247.0,19.0,0.152,50.0,67.0,0.052507373698322306
247.0,19.0,0.152,75.0,157.0,0.044279684698300036
247.0,19.0,0.152,75.0,247.0,0.05349039830637626
247.0,19.0,0.152,75.0,337.0,0.044279684698300036
247.0,19.0,0.152,75.0,67.0,0.04061087816525057
243.0,7.0,0.152,30.0,153.0,0.04900372079516932
243.0,7.0,0.152,30.0,243.0,0.1199058494961164
243.0,7.0,0.152,30.0,333.0,0.04900372079516932
243.0,7.0,0.152,30.0,63.0,0.06740543761323767
243.0,7.0,0.152,50.0,153.0,0.0351074674923086
243.0,7.0,0.152,50.0,243.0,0.056214311535372395
243.0,7.0,0.152,50.0,333.0,0.0351074674923086
243.0,7.0,0.152,50.0,63.0,0.040686250356450245
243.0,7.0,0.152,75.0,153.0,0.028996094978753672
243.0,7.0,0.152,75.0,243.0,0.032383129488793926
243.0,7.0,0.152,75.0,333.0,0.028996094978753672
243.0,7.0,0.152,75.0,63.0,0.028750969954090808
237.0,-4.0,0.152,30.0,147.0,0.001212517254581775
237.0,-4.0,0.152,30.0,237.0,0.0022449029897542165
237.0,-4.0,0.152,30.0,327.0,0.001212517254581775
237.0,-4.0,0.152,30.0,57.0,0.0012276151274843274
237.0,-4.0,0.152,50.0,147.0,0.0009022582425632234
237.0,-4.0,0.152,50.0,237.0,0.0012360218677192926
237.0,-4.0,0.152,50.0,327.0,0.0009022582425632234
237.0,-4.0,0.152,50.0,57.0,0.0009714707420470661
237.0,-4.0,0.152,75.0,147.0,0.0007441629109354186
237.0,-4.0,0.152,75.0,237.0,0.0007897900197797688
237.0,-4.0,0.152,75.0,327.0,0.0007441629109354186
237.0,-4.0,0.152,75.0,57.0,0.0007573292948909083
230.0,-14.0,0.152,30.0,140.0,0.0
230.0,-14.0,0.152,30.0,230.0,2.9792426510566924e-10
230.0,-14.0,0.152,30.0,320.0,0.0
230.0,-14.0,0.152,30.0,50.0,0.0
230.0,-14.0,0.152,50.0,140.0,0.0
230.0,-14.0,0.152,50.0,230.0,0.0
230.0,-14.0,0.152,50.0,320.0,0.0
230.0,-14.0,0.152,50.0,50.0,0.0
230.0,-14.0,0.152,75.0,140.0,0.0
230.0,-14.0,0.152,75.0,230.0,0.0
230.0,-14.0,0.152,75.0,320.0,0.0
230.0,-14.0,0.152,75.0,50.0,0.0
221.0,-24.0,0.152,30.0,131.0,0.0
221.0,-24.0,0.152,30.0,221.0,0.0
221.0,-24.0,0.152,30.0,311.0,0.0
221.0,-24.0,0.152,30.0,41.0,0.0
221.0,-24.0,0.152,50.0,131.0,0.0
221.0,-24.0,0.152,50.0,221.0,0.0
221.0,-24.0,0.152,50.0,311.0,0.0
221.0,-24.0,0.152,50.0,41.0,0.0
221.0,-24.0,0.152,75.0,131.0,0.0
221.0,-24.0,0.152,75.0,221.0,0.0
221.0,-24.0,0.152,75.0,311.0,0.0
221.0,-24.0,0.152,75.0,41.0,0.0
210.0,-31.0,0.152,30.0,120.0,0.0
210.0,-31.0,0.152,30.0,210.0,0.0
210.0,-31.0,0.152,30.0,30.0,0.0
210.0,-31.0,0.152,30.0,300.0,0.0
210.0,-31.0,0.152,50.0,120.0,0.0
210.0,-31.0,0.152,50.0,210.0,0.0
210.0,-31.0,0.152,50.0,30.0,0.0
210.0,-31.0,0.152,50.0,300.0,0.0
210.0,-31.0,0.152,75.0,120.0,0.0
210.0,-31.0,0.152,75.0,210.0,0.0
210.0,-31.0,0.152,75.0,30.0,0.0
210.0,-31.0,0.152,75.0,300.0,0.0
196.0,-36.0,0.152,30.0,106.0,0.0
196.0,-36.0,0.152,30.0,16.0,0.0
196.0,-36.0,0.152,30.0,196.0,0.0
196.0,-36.0,0.152,30.0,286.0,0.0
196.0,-36.0,0.152,50.0,106.0,0.0
196.0,-36.0,0.152,50.0,16.0,0.0
196.0,-36.0,0.152,50.0,196.0,0.0
196.0,-36.0,0.152,50.0,286.0,0.0
196.0,-36.0,0.152,75.0,106.0,0.0
196.0,-36.0,0.152,75.0,16.0,0.0
196.0,-36.0,0.152,75.0,196.0,0.0
196.0,-36.0,0.152,75.0,286.0,0.0
180.0,-38.0,0.152,30.0,0.0,0.0
180.0,-38.0,0.152,30.0,180.0,0.0
180.0,-38.0,0.152,30.0,270.0,0.0
180.0,-38.0,0.152,30.0,90.0,0.0
180.0,-38.0,0.152,50.0,0.0,0.0
180.0,-38.0,0.152,50.0,180.0,0.0
180.0,-38.0,0.152,50.0,270.0,0.0
180.0,-38.0,0.152,50.0,90.0,0.0
180.0,-38.0,0.152,75.0,0.0,0.0
180.0,-38.0,0.152,75.0,180.0,0.0
180.0,-38.0,0.152,75.0,270.0,0.0
180.0,-38.0,0.152,75.0,90.0,0.0
