# wavelength_nm,irradiance_W_m2_nm
# source_product=tsis1_hsrs_p025nm
# source_release=TSIS-1 HSRS Version 2
# source_doi=https://doi.org/10.25980/ta3f-7h90
# units=W m^-2 nm^-1
# upstream_spectral_resolution_nm=0.025
# upstream_sampling_interval_nm=0.005
# reference_distance=1 AU
# runtime_grid_method=flux-conserving 1 nm cell means with exact 445/500/551 nm anchors
# runtime_sampling_interval_nm=1
300.000,2.73279386804308244e-1
301.000,4.82790603962950760e-1
302.000,4.19089016861718566e-1
303.000,6.22728443082269933e-1
304.000,5.87721746071832585e-1
305.000,6.73266938458811581e-1
306.000,5.45868853098395723e-1
307.000,6.06884632312228889e-1
308.000,6.09193417573462792e-1
309.000,5.82629390222272781e-1
310.000,5.05931482936286980e-1
311.000,8.09289307692859450e-1
312.000,6.65012791595663733e-1
313.000,6.88012546535640146e-1
314.000,7.33657795833072890e-1
315.000,6.87081413377231942e-1
316.000,5.50536749132705783e-1
317.000,7.81080445861961459e-1
318.000,6.74046082258644486e-1
319.000,6.90613480158338233e-1
320.000,7.87229910266356692e-1
321.000,7.43893410214036876e-1
322.000,7.49209775618340235e-1
323.000,6.44536340567083310e-1
324.000,7.16531122692872779e-1
325.000,7.86338110164030990e-1
326.000,1.01777543427814088e0
327.000,9.67732037398861267e-1
328.000,9.49357487530704147e-1
329.000,9.66986794598190480e-1
330.000,1.12217535293080783e0
331.000,9.61532634156669230e-1
332.000,9.46547044974210827e-1
333.000,9.92314928633315829e-1
334.000,8.97436320506610263e-1
335.000,9.99874162004118272e-1
336.000,8.44653615512012013e-1
337.000,8.16233576165603547e-1
338.000,9.13348036752638870e-1
339.000,9.58075389500685159e-1
340.000,1.08767021695610300e0
341.000,9.47001833121468795e-1
342.000,9.63934204609662948e-1
343.000,1.01284232315537537e0
344.000,8.24554291124313998e-1
345.000,9.15946004512966705e-1
346.000,9.33993382463110811e-1
347.000,1.00241199938063552e0
348.000,8.68522886498946045e-1
349.000,8.88899495468471801e-1
350.000,1.03288394595146382e0
351.000,1.01162562971842984e0
352.000,1.01362169787565803e0
353.000,9.05295551186705794e-1
354.000,1.13273136841866595e0
355.000,1.15034026534453782e0
356.000,1.08846738075649396e0
357.000,7.71760861185023406e-1
358.000,8.02882472564696692e-1
359.000,8.05027224050344214e-1
360.000,1.16379521459152535e0
361.000,8.86610444084471205e-1
362.000,9.37293239996338623e-1
363.000,1.07877603329723581e0
