# schema=nsb-healpix-starlight-v2
# packer_id=candidate-v5-to-healpix-v2-packed-v1
# unit_conversion_id=pixel-flux-ph-m2-s-to-band-radiance-ph-cm2-ns-sr-v1+nested-to-ring-v1
# source_candidate_sha256=sha256:76191c8b682d96adfc3a017f44f3fcfd0bec5dcb9a958d31668250b8a0ba396a
# map_type=healpix
# coordinate_frame=galactic
# nside=128
# ordering=ring
# s10_diagnostics=not_provided
# band_definition=300-650 nm combined integrated photon radiance (corrected 300-336 nm UV + measured 336-650 nm)
# calibration_status=production
# dataset_name=NSB Gaia DR3 Starlight packed runtime map
# gaia_source_checksum_manifest_sha256=sha256:9ec782f9c83b29885924c7d47bba18d70c86b8cbefbc408b19090b6a76e8e369
# generated_by=nsb-data dataset starlight promote (candidate-v5-to-healpix-v2-packed-v1)
# generation_command=nsb-data dataset starlight promote --apply
# generation_date_utc=2026-08-24T00:00:00Z
# independent_comparison=no_admissible_independent_reference; human review #103
# magnitude_limit=Gaia DR3 catalogue as admitted by the frozen merge report
# map_resolution=HEALPix nside=128 ordering=ring
# photometry_model=gaia_dr3_xp_photon_radiance_300_650nm_packed_v1
# smoothing=none
# source_catalogue=Gaia DR3 GaiaSource and XP continuous
# source_catalogue_checksum=sha256:9ec782f9c83b29885924c7d47bba18d70c86b8cbefbc408b19090b6a76e8e369
# source_catalogue_license=CC BY-NC 3.0 IGO
# source_catalogue_release=Gaia DR3
# source_selection=Gaia DR3 full-population admission with photometric-inference fallback and selection-function weights
# validation_report=docs/nsb_components/starlight/production-runs/combined-300-650-validation.json
# version=uv-v2-packed-from-76191c8b682d96adfc3a017f44f3fcfd0bec5dcb9a958d31668250b8a0ba396a
# xp_continuous_checksum_manifest_sha256=sha256:f23df1ffb45b19fc3f34d6f37791179cef1ebec6c5b9fd613a488b3be580fccd
healpix_index,integrated_ph_cm2_ns_sr,statistical_uncertainty_ph_cm2_ns_sr,systematic_uncertainty_ph_cm2_ns_sr,total_uncertainty_ph_cm2_ns_sr
43,5.8472308698184049e-3,3.3543653238491464e-5,2.0570758395750292e-4,2.0842453495262326e-4
44,1.3520145083392346e-2,1.3602547407777092e-4,4.2392689255717854e-4,4.4521561049818087e-4
45,1.8759061370571099e-2,1.7451585419175789e-4,4.5981979775912068e-4,4.9182316921381154e-4
46,1.6898653175056469e-2,1.8006803545605191e-4,5.6006710461465085e-4,5.8830235344118774e-4
47,1.0609039139688466e-2,1.6160236397976945e-4,2.9176164738912525e-4,3.3352688486996984e-4
48,7.9716507194456231e-3,5.3771122167744709e-5,3.9547495396439694e-4,3.9911373415646884e-4
49,1.1250420348509194e-2,6.8375634686152642e-5,3.2810560346961399e-4,3.3515446356403156e-4
50,3.3175552610034929e-2,4.1065801377260236e-4,7.2576859700676163e-4,8.3389451411843571e-4
51,2.2617861981806327e-2,3.9439907459638937e-4,5.7975665038485574e-4,7.0119070423669779e-4
52,8.6909776974666651e-3,4.7627052331283095e-5,2.1868342206625869e-4,2.2380968522469307e-4
53,1.1054236652429265e-1,3.1714807887667216e-3,2.9675261731591891e-3,4.3433284450869252e-3
54,1.1387425369294490e-2,7.7689090802104084e-5,5.8713730331516059e-4,5.9225485035908009e-4
55,1.0729872828276175e-2,9.9751808350297358e-5,2.5633272249371569e-4,2.7505797187173965e-4
56,8.8950998064819750e-3,6.1962666809644624e-5,2.5509082934272110e-4,2.6250848232565798e-4
57,2.3118241081021586e-2,3.5271346486935871e-4,5.5048577678952059e-4,6.5379001120215218e-4
58,9.5741463873238591e-3,7.8784386660402775e-5,2.7718346972834484e-4,2.8816255043308476e-4
59,1.6174080831566330e-2,1.5576438985948819e-4,3.2448038202897213e-4,3.5993063702603360e-4
60,8.3807012335273146e-3,5.1076681616453150e-5,2.2910107155756874e-4,2.3472564494271767e-4
61,6.1701747616971113e-3,3.5949238471268453e-5,1.9882692367042228e-4,2.0205071967926283e-4
62,9.5834439046031950e-3,9.5302828191407018e-5,2.7880717107857622e-4,2.9464566466540676e-4
63,6.9809225313247790e-3,4.0066897758630571e-5,2.0723671247308470e-4,2.1107442121832889e-4
64,3.3881580364919110e-2,7.3115317844993160e-4,8.6555539826045570e-4,1.1330362385269298e-3
65,1.3648614928851634e-2,1.2283926300825967e-4,3.6018277569457407e-4,3.8055369718800562e-4
66,1.1675808358302215e-2,6.8247143613918825e-5,6.0010710524618243e-4,6.0397533921378909e-4
67,9.9856978977969843e-3,6.0587470629305785e-5,2.6671538263172296e-4,2.7351039638310524e-4
68,9.6984637272230830e-3,5.7914031147036483e-5,2.2031374854606414e-4,2.2779855750666711e-4
69,7.4966878351965277e-2,1.9296661204587211e-3,2.5463006065194259e-3,3.1948799844763198e-3
70,3.2414171099904306e-2,2.9958705714608526e-4,7.1231008725461007e-4,7.7274709007159781e-4
71,4.6601224128777746e-3,1.9853353330431561e-5,1.7394627398799325e-4,1.7507558902590895e-4
72,9.4638525257704879e-3,9.4461756832404407e-5,2.4826326629468084e-4,2.6562694308967968e-4
73,8.6608303372614510e-3,4.4366297291486542e-5,2.4465999205585526e-4,2.4865011572112268e-4
74,1.6672529815408402e-2,1.1024489914332174e-4,3.5882965568195238e-4,3.7538335016879703e-4
75,1.9611728161721926e-2,1.8175118504156561e-4,4.0633639275544750e-4,4.4513229195546197e-4
76,3.7518547569712922e-2,2.6400690874854203e-4,7.3359060009016376e-4,7.7965044501212687e-4
77,9.0807423266051762e-3,6.9963616545714758e-5,3.0026838304876287e-4,3.0831154616535916e-4
78,1.8475760627172426e-2,1.4988542966166271e-4,4.7879785835906958e-4,5.0171010672906812e-4
79,9.1567960633028682e-3,8.6314900506064316e-5,2.9163702828982635e-4,3.0414210218102458e-4
80,7.8571897169566335e-3,4.5879459648173783e-5,2.1689741755834946e-4,2.2169667241771899e-4
81,7.5559743211902237e-3,4.1935368163739015e-5,5.2650441001031478e-4,5.2817181755877320e-4
82,5.3483364213989136e-3,4.9221025098050864e-5,1.9909229163645462e-4,2.0508644494641288e-4
83,2.3764122838132958e-2,2.7058594293786044e-4,4.6227703239538318e-4,5.3564615857471919e-4
84,3.6426437449987490e-3,2.1949386429367390e-5,1.5371340567706012e-4,1.5527262041153990e-4
85,5.6353644298347098e-3,4.4768831799403399e-5,2.0533092267139403e-4,2.1015479082278678e-4
86,4.1164204906149306e-3,2.3771005216149845e-5,1.6282516500800109e-4,1.6455119279078169e-4
87,1.4433262231231635e-2,1.0792236805747664e-4,3.5135831065948118e-4,3.6755938295276579e-4
88,4.9072727366446245e-3,2.1702296097519587e-5,1.6875072535062015e-4,1.7014052122367809e-4
89,2.4519469560166783e-2,1.9342150443803121e-4,5.2683317485093537e-4,5.6121749126571911e-4
90,9.1269486884384219e-3,7.3171078332999275e-5,7.7505068625712654e-4,7.7849699612269328e-4
91,2.1129191628568609e-2,3.3230041071236597e-4,9.1536928933124166e-4,9.7381954119353617e-4
92,9.7887643691574183e-3,6.8688807428582874e-5,2.8815034791020416e-4,2.9622419763876922e-4
93,8.5899607837786104e-3,6.5187846399794867e-5,2.5941071665920714e-4,2.6747593393777822e-4
94,1.0949301278664112e-2,5.9836888388494409e-5,2.7831349102979774e-4,2.8467323811909409e-4
95,2.7555005546398229e-2,3.4182419341326410e-4,7.0182989572355008e-4,7.8064651522565421e-4
96,2.1109109206628368e-2,2.5948327652969673e-4,3.6499423523940624e-4,4.4783072980377983e-4
97,9.6101450223664165e-3,6.9407528872320471e-5,2.4239724481175427e-4,2.5213851224374970e-4
98,5.9620816371363856e-2,1.4772232489858551e-3,1.5358180070307824e-3,2.1309447383881944e-3
99,1.6927608704005129e-2,1.4127809908332805e-4,4.0865667459223691e-4,4.3238845841370936e-4
100,4.4455530519184369e-2,9.9277339194741242e-4,1.1090933555076500e-3,1.4885184174171272e-3
101,1.3679527263777191e-2,1.3628736988899266e-4,3.1841193580581245e-4,3.4635301074895238e-4
102,1.0800340127670413e-2,5.9413739240961937e-5,2.7087390139537108e-4,2.7731329370901463e-4
103,7.1616831578233597e-3,5.2358071145171266e-5,2.2072946437474170e-4,2.2685427934514084e-4
104,8.6694965817499907e-3,6.1702962782835214e-5,2.3539805131050202e-4,2.4335056642005515e-4
105,1.5422815528100604e-2,1.5154240666545696e-4,3.7743599601342323e-4,4.0672230342655606e-4
